pod,queue_sec,jct_sec
ph-application-1508364558011-27835-gdn6d,2.0,233.0
ph-application-1508364558011-27886-bbbdn,1790.0,1797.0
ph-application-1508364558011-27924-p7ncb,3.0,65.0
ph-application-1508364558011-27933-vg9n9,1.0,8.0
ph-application-1508364558011-27953-rqx98,4.0,46.0
ph-application-1508364558011-27958-92xxn,2.0,9.0
ph-application-1508364558011-28027-5vw68,1.0,7.0
ph-application-1508364558011-28089-h4gqk,44.0,60.0
ph-application-1508364558011-28094-58d88,1.0,7.0
ph-application-1508364558011-28136-5vt5f,4.0,11.0
ph-application-1508364558011-28143-xrm6n,2.0,9.0
ph-application-1508364558011-28153-5kzsj,1.0,7.0
ph-application-1508364558011-28193-f6c6p,3.0,10.0
ph-application-1508364558011-28201-dq78x,1.0,8.0
ph-application-1508364558011-28245-pkgln,4.0,11.0
ph-application-1508364558011-28257-lw8vj,3.0,4.0
ph-application-1508364558011-28272-l5fkf,1.0,7.0
ph-application-1508364558011-28319-pzwxk,3.0,10.0
ph-application-1508364558011-28327-d9lrk,2.0,8.0
ph-application-1508364558011-28399-s24pf,5.0,11.0
ph-application-1508364558011-28411-dbpzh,3.0,9.0
ph-application-1508364558011-28494-mzfbp,6.0,12.0
ph-application-1508364558011-28499-lg8m5,4.0,10.0
ph-application-1508364558011-28507-wlmj7,2.0,3.0
ph-application-1508364558011-28520-cgc8g,5.0,246.0
ph-application-1508364558011-28529-mp646,3.0,244.0
ph-application-1508364558011-28545-jxpsj,1751.0,1752.0
ph-application-1508364558011-28575-zmxbk,1754.0,1806.0
ph-application-1508364558011-28580-p5r49,17.0,23.0
ph-application-1508364558011-28614-vrbgt,20.0,26.0
ph-application-1508364558011-28621-9x9k7,18.0,24.0
ph-application-1508364558011-28654-5gggt,16.0,23.0
ph-application-1508364558011-28672-zrjg9,1803.0,1809.0
ph-application-1508364558011-28695-v5lz4,1812.0,1963.0
ph-application-1508364558011-28711-js2kc,10.0,17.0
ph-application-1508364558011-28753-c7kfm,1962.0,1969.0
ph-application-1508364558011-28806-t6k26,11.0,12.0
ph-application-1508364558011-28841-ckqm4,14.0,26.0
ph-application-1508364558011-28939-s2qcn,12.0,69.0
ph-application-1508364558011-29004-p7f9n,10.0,17.0
ph-application-1508364558011-29010-mpkbl,196.0,202.0
ph-application-1508364558011-29174-57gtz,1961.0,2082.0
ph-application-1508364558011-29183-h7dh5,4.0,11.0
ph-application-1508364558011-29239-88xff,200.0,231.0
ph-application-1508364558011-29284-ckjls,5.0,11.0
ph-application-1508364558011-29493-56bsn,8.0,44.0
ph-application-1508364558011-29537-7j684,6.0,12.0
ph-application-1508364558011-29567-4ftw4,9.0,15.0
ph-application-1508364558011-29647-95tsp,7.0,13.0
ph-application-1508364558011-29741-5kkwd,10.0,26.0
ph-application-1508364558011-29743-mfkxv,13.0,20.0
ph-application-1508364558011-29797-xbkrd,11.0,23.0
ph-application-1508364558011-29807-tkrp8,19.0,35.0
ph-application-1508364558011-29900-xv2sn,22.0,39.0
ph-application-1508364558011-29911-26fqn,21.0,82.0
ph-application-1508364558011-29965-dhmhw,29.0,45.0
ph-application-1508364558011-30067-jztz8,31.0,37.0
ph-application-1508364558011-30131-425tc,2056.0,2062.0
ph-application-1508364558011-30135-w6h4s,32.0,33.0
ph-application-1508364558011-30180-dvs8c,35.0,41.0
ph-application-1508364558011-30208-kshqm,201.0,202.0
ph-application-1508364558011-30245-dfpsf,26.0,32.0
ph-application-1508364558011-30299-fnq2g,34.0,40.0
ph-application-1508364558011-30319-4s6gh,32.0,68.0
ph-application-1508364558011-30343-tj4zl,35.0,41.0
ph-application-1508364558011-30383-m8cdn,33.0,39.0
ph-application-1508364558011-30444-c9p7w,36.0,42.0
ph-application-1508364558011-30456-n5c2p,39.0,40.0
ph-application-1508364558011-30512-rqv99,190.0,221.0
ph-application-1508364558011-30525-4lprx,35.0,36.0
ph-application-1508364558011-30529-tgd6r,38.0,39.0
ph-application-1508364558011-30539-49xql,36.0,38.0
ph-application-1508364558011-30563-j7nmr,34.0,106.0
ph-application-1508364558011-30573-sc52x,37.0,38.0
ph-application-1508364558011-30651-h2sjt,35.0,122.0
ph-application-1508364558011-30661-h49kd,38.0,104.0
ph-application-1508364558011-30697-n799k,41.0,42.0
ph-application-1508364558011-30726-g82xl,44.0,46.0
ph-application-1508364558011-30763-8mcpk,42.0,44.0
ph-application-1508364558011-30770-6b77z,45.0,47.0
ph-application-1508364558011-30782-qcjhs,44.0,45.0
ph-application-1508364558011-30787-h8rn5,47.0,48.0
ph-application-1508364558011-30805-fcs6c,45.0,116.0
ph-application-1508364558011-30844-cxr6l,48.0,64.0
ph-application-1508364558011-30878-dwlls,66.0,72.0
ph-application-1508364558011-30884-x88hk,64.0,70.0
ph-application-1508364558011-30982-2ddp7,72.0,83.0
ph-application-1508364558011-31071-p2gwg,70.0,81.0
ph-application-1508364558011-31134-lhk45,78.0,84.0
ph-application-1508364558011-31151-z547c,81.0,93.0
ph-application-1508364558011-31208-dq577,80.0,91.0
ph-application-1508364558011-31210-jhfdn,78.0,89.0
ph-application-1508364558011-31239-kwmq8,101.0,107.0
ph-application-1508364558011-31435-hmztk,79.0,85.0
