pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-e66eg-8970,task,PROJECT_19,ns-23376,TEAM_3,2024-07-29 12:09:37+00:00,2024-07-30 10:34:37+00:00,3,1345,2,39.6639,A100,n
run-pipeline-gpu-2ha4c-3441,task,PROJECT_12,ns-14197,TEAM_3,2024-08-16 21:08:37+00:00,2024-08-17 20:20:37+00:00,3,1392,3,44.9496,A30,n
run-pipeline-gpu-4udqf-17041,task,PROJECT_5,ns-24928,TEAM_4,2024-08-06 10:46:37+00:00,2024-08-08 00:31:37+00:00,6,2265,3,43.7066,A100,n
run-pipeline-gpu-5x4nm-17250,task,PROJECT_8,ns-21741,TEAM_10,2024-08-15 11:12:37+00:00,2024-08-15 21:22:37+00:00,7,610,3,56.0821,A100,n
run-pipeline-gpu-jyi4x-17068,task,PROJECT_9,ns-15018,TEAM_9,2024-08-14 15:29:37+00:00,2024-08-16 20:41:37+00:00,5,3192,4,73.4165,A100,n
run-pipeline-gpu-kshcx-27310,task,PROJECT_2,ns-17014,TEAM_1,2024-07-29 19:39:37+00:00,2024-07-30 20:55:37+00:00,3,1516,4,67.3663,A100,n
run-pipeline-gpu-toxw7-10631,task,PROJECT_14,ns-7420,TEAM_4,2024-08-01 19:55:37+00:00,2024-08-01 20:56:37+00:00,6,61,2,20.7747,A100,y
run-pipeline-gpu-yabkp-7088,task,PROJECT_6,ns-16480,TEAM_2,2024-08-08 14:52:37+00:00,2024-08-10 18:39:37+00:00,7,3107,3,49.0419,A100,n
run-pipeline-gpu-clk45-25352,task,PROJECT_18,ns-9122,TEAM_4,2024-07-29 16:20:37+00:00,2024-07-31 11:44:37+00:00,3,2604,3,42.5531,A100,n
run-pipeline-gpu-ylgwp-12861,instance,PROJECT_9,ns-7547,TEAM_3,2024-08-11 11:24:37+00:00,2024-08-12 00:50:37+00:00,4,806,2,27.8502,A100,n
run-pipeline-gpu-38iub-24477,task,PROJECT_7,ns-26301,TEAM_1,2024-08-02 06:15:37+00:00,2024-08-04 20:25:37+00:00,7,3730,4,62.7175,A100,n
run-pipeline-gpu-pl24d-16275,task,PROJECT_10,ns-13706,TEAM_1,2024-08-06 11:46:37+00:00,2024-08-07 13:07:37+00:00,1,1521,5,91.0101,A30,n
run-pipeline-gpu-3wwr8-9814,task,PROJECT_5,ns-19924,TEAM_10,2024-08-16 07:15:37+00:00,2024-08-18 20:10:37+00:00,4,3655,4,79.0995,A100,n
run-pipeline-gpu-rrmjx-4503,instance,PROJECT_8,ns-3326,TEAM_2,2024-08-05 08:22:37+00:00,2024-08-07 18:55:37+00:00,2,3513,4,72.363,A100,n
run-pipeline-gpu-s8dco-28212,task,PROJECT_18,ns-12713,TEAM_4,2024-08-20 05:30:37+00:00,2024-08-21 15:15:37+00:00,4,2025,3,47.5968,A100,n
run-pipeline-gpu-sosrl-829,task,PROJECT_10,ns-15841,TEAM_8,2024-08-01 17:12:37+00:00,2024-08-01 23:20:37+00:00,4,368,3,49.82,A100,n
run-pipeline-gpu-d1qbs-4802,task,PROJECT_14,ns-8526,TEAM_7,2024-08-18 02:21:37+00:00,2024-08-19 01:39:37+00:00,7,1398,3,54.559,A100,y
run-pipeline-gpu-pn3j6-2632,task,PROJECT_18,ns-10769,TEAM_8,2024-08-17 16:12:37+00:00,2024-08-18 18:37:37+00:00,1,1585,3,43.5099,A100,n
run-pipeline-gpu-1cqc8-30691,instance,PROJECT_1,ns-24184,TEAM_2,2024-08-12 09:25:37+00:00,2024-08-13 16:56:37+00:00,4,1891,2,24.3368,A100,n
run-pipeline-gpu-pgkzt-13877,task,PROJECT_19,ns-9904,TEAM_7,2024-08-05 05:49:37+00:00,2024-08-06 06:48:37+00:00,7,1499,4,76.3871,A100,n
run-pipeline-gpu-rnm5l-12523,task,PROJECT_2,ns-25877,TEAM_9,2024-08-07 00:44:37+00:00,2024-08-09 14:20:37+00:00,4,3696,5,95.0001,A100,n
run-pipeline-gpu-d287u-5234,task,PROJECT_14,ns-5337,TEAM_7,2024-07-30 18:10:37+00:00,2024-08-01 14:29:37+00:00,7,2659,4,67.5803,A100,y
