pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-s4bs5-11951,task,PROJECT_6,ns-32655,TEAM_4,2024-06-27 15:04:11+00:00,2024-06-28 20:08:11+00:00,5,1744,2,39.8568,A100,n
run-pipeline-gpu-fh722-31084,task,PROJECT_11,ns-161,TEAM_5,2024-07-01 17:22:11+00:00,2024-07-03 05:24:11+00:00,2,2162,4,65.3143,A30,y
run-pipeline-gpu-abxwg-14383,task,PROJECT_16,ns-6260,TEAM_9,2024-06-15 12:37:11+00:00,2024-06-16 16:22:11+00:00,4,1665,2,39.4836,A30,n
run-pipeline-gpu-8jcmd-10907,instance,PROJECT_13,ns-10688,TEAM_6,2024-06-18 18:13:11+00:00,2024-06-19 03:25:11+00:00,4,552,2,33.8328,A100,n
run-pipeline-gpu-62y9h-3637,task,PROJECT_6,ns-18982,TEAM_4,2024-07-04 14:44:11+00:00,2024-07-04 23:06:11+00:00,3,502,2,36.0458,A100,n
run-pipeline-gpu-kzt6d-22484,task,PROJECT_12,ns-30097,TEAM_2,2024-06-22 03:33:11+00:00,2024-06-22 12:45:11+00:00,8,552,3,58.6353,A100,n
run-pipeline-gpu-dwlud-24345,task,PROJECT_3,ns-5056,TEAM_9,2024-06-21 09:01:11+00:00,2024-06-22 07:14:11+00:00,7,1333,2,22.1549,A100,y
run-pipeline-gpu-to1m3-29991,instance,PROJECT_19,ns-7735,TEAM_5,2024-06-15 20:14:11+00:00,2024-06-17 04:54:11+00:00,6,1960,4,70.6371,A100,y
run-pipeline-gpu-0bfh5-26430,instance,PROJECT_3,ns-1067,TEAM_4,2024-07-04 00:49:11+00:00,2024-07-04 23:32:11+00:00,2,1363,4,65.8837,A100,n
run-pipeline-gpu-jduyq-14059,task,PROJECT_3,ns-15143,TEAM_6,2024-06-21 19:04:11+00:00,2024-06-23 11:18:11+00:00,2,2414,5,81.3193,A100,y
run-pipeline-gpu-9t42k-11487,task,PROJECT_20,ns-3701,TEAM_1,2024-06-30 09:41:11+00:00,2024-07-01 08:40:11+00:00,2,1379,3,45.3695,A100,y
run-pipeline-gpu-gau0w-10422,task,PROJECT_19,ns-1179,TEAM_2,2024-06-19 18:16:11+00:00,2024-06-20 05:24:11+00:00,8,668,3,57.8032,A100,n
run-pipeline-gpu-4hmx8-32554,task,PROJECT_3,ns-26979,TEAM_4,2024-06-19 15:23:11+00:00,2024-06-21 11:42:11+00:00,3,2659,3,46.3893,A30,n
run-pipeline-gpu-bt4c6-10640,task,PROJECT_13,ns-1095,TEAM_7,2024-06-18 09:20:11+00:00,2024-06-18 22:37:11+00:00,4,797,3,40.7135,A30,n
run-pipeline-gpu-db8ex-19597,task,PROJECT_5,ns-3651,TEAM_2,2024-06-14 22:42:11+00:00,2024-06-15 15:34:11+00:00,7,1012,5,86.1573,A100,n
run-pipeline-gpu-w4al3-355,task,PROJECT_16,ns-26444,TEAM_8,2024-06-15 17:44:11+00:00,2024-06-18 00:02:11+00:00,4,3258,2,20.406,A100,n
run-pipeline-gpu-rnfbc-9294,task,PROJECT_9,ns-11013,TEAM_2,2024-07-01 22:05:11+00:00,2024-07-03 12:59:11+00:00,1,2334,2,34.2186,A100,n
run-pipeline-gpu-vvnmf-951,instance,PROJECT_11,ns-25963,TEAM_7,2024-06-29 01:44:11+00:00,2024-06-30 08:18:11+00:00,5,1834,3,52.025,A100,n
run-pipeline-gpu-7wfr8-30558,task,PROJECT_16,ns-7050,TEAM_8,2024-06-16 23:34:11+00:00,2024-06-18 08:30:11+00:00,5,1976,2,23.9041,A100,n
run-pipeline-gpu-m5pht-29598,task,PROJECT_10,ns-29052,TEAM_1,2024-06-21 08:44:11+00:00,2024-06-22 13:32:11+00:00,5,1728,2,34.1877,A30,y
run-pipeline-gpu-7knt6-27760,task,PROJECT_15,ns-15933,TEAM_4,2024-06-23 03:54:11+00:00,2024-06-24 01:12:11+00:00,3,1278,2,26.4385,A100,y
run-pipeline-gpu-7bozo-7403,instance,PROJECT_3,ns-10015,TEAM_9,2024-06-14 07:21:11+00:00,2024-06-15 04:39:11+00:00,3,1278,2,38.8349,A100,y
run-pipeline-gpu-1tmsv-23366,instance,PROJECT_15,ns-14304,TEAM_3,2024-06-29 05:33:11+00:00,2024-07-01 16:35:11+00:00,7,3542,3,54.6141,A30,n
run-pipeline-gpu-hl6ir-22184,task,PROJECT_7,ns-10673,TEAM_8,2024-06-23 00:10:11+00:00,2024-06-24 08:47:11+00:00,4,1957,3,44.3044,A30,n
run-pipeline-gpu-3dypj-17228,task,PROJECT_6,ns-31402,TEAM_7,2024-06-18 05:38:11+00:00,2024-06-18 20:02:11+00:00,3,864,2,37.5285,A100,n
run-pipeline-gpu-qdmne-25287,task,PROJECT_2,ns-26754,TEAM_8,2024-06-22 22:35:11+00:00,2024-06-23 07:27:11+00:00,8,532,3,52.5105,A100,n
run-pipeline-gpu-f3t80-20841,instance,PROJECT_1,ns-9359,TEAM_2,2024-06-29 08:40:11+00:00,2024-06-29 16:51:11+00:00,4,491,3,56.259,A30,n
run-pipeline-gpu-moyvm-24343,task,PROJECT_3,ns-31815,TEAM_4,2024-07-03 12:40:11+00:00,2024-07-04 04:30:11+00:00,3,950,3,51.4169,A30,n
run-pipeline-gpu-arqjo-18706,task,PROJECT_10,ns-2272,TEAM_10,2024-06-27 00:35:11+00:00,2024-06-27 18:07:11+00:00,6,1052,2,33.7492,A30,n
run-pipeline-gpu-77kb3-15227,task,PROJECT_16,ns-4555,TEAM_6,2024-07-02 23:08:11+00:00,2024-07-03 18:04:11+00:00,5,1136,2,29.9851,A100,n
run-pipeline-gpu-e4t4m-25761,task,PROJECT_7,ns-30996,TEAM_6,2024-06-15 20:08:11+00:00,2024-06-17 05:12:11+00:00,4,1984,3,54.9801,A30,n
run-pipeline-gpu-hhoxi-26968,task,PROJECT_5,ns-5611,TEAM_1,2024-06-14 13:31:11+00:00,2024-06-16 11:22:11+00:00,6,2751,2,28.0482,A30,y
run-pipeline-gpu-pvjqz-230,instance,PROJECT_19,ns-8422,TEAM_10,2024-06-17 22:04:11+00:00,2024-06-18 07:36:11+00:00,4,572,2,39.344,A100,y
run-pipeline-gpu-vydtf-14413,instance,PROJECT_3,ns-5826,TEAM_7,2024-07-03 08:47:11+00:00,2024-07-04 16:14:11+00:00,2,1887,3,43.5121,A100,n
run-pipeline-gpu-0hoyx-10236,task,PROJECT_4,ns-2465,TEAM_1,2024-06-19 02:54:11+00:00,2024-06-19 05:13:11+00:00,3,139,3,44.0132,A30,y
run-pipeline-gpu-qlwtk-5160,task,PROJECT_7,ns-3617,TEAM_8,2024-07-02 11:00:11+00:00,2024-07-03 04:33:11+00:00,2,1053,4,69.6372,A30,y
run-pipeline-gpu-k0934-20319,task,PROJECT_13,ns-6329,TEAM_1,2024-06-22 16:57:11+00:00,2024-06-23 06:38:11+00:00,4,821,2,27.3989,A100,n
run-pipeline-gpu-tls6i-6166,task,PROJECT_15,ns-2371,TEAM_5,2024-06-16 10:47:11+00:00,2024-06-17 00:20:11+00:00,3,813,2,21.2044,A100,n
run-pipeline-gpu-yn5zb-23868,task,PROJECT_6,ns-7580,TEAM_2,2024-06-27 17:22:11+00:00,2024-06-29 18:34:11+00:00,4,2952,2,34.0926,A30,n
run-pipeline-gpu-9dewb-11034,instance,PROJECT_14,ns-25023,TEAM_1,2024-06-27 00:56:11+00:00,2024-06-27 16:49:11+00:00,3,953,2,30.789,A100,n
run-pipeline-gpu-1s04x-18696,task,PROJECT_5,ns-17096,TEAM_10,2024-06-22 07:23:11+00:00,2024-06-23 13:06:11+00:00,1,1783,2,23.1852,A30,n
run-pipeline-gpu-6tcjw-6593,task,PROJECT_3,ns-31678,TEAM_9,2024-06-16 09:39:11+00:00,2024-06-17 12:37:11+00:00,6,1618,2,39.6954,A100,n
run-pipeline-gpu-1iq6o-27477,task,PROJECT_11,ns-30238,TEAM_9,2024-06-30 10:27:11+00:00,2024-07-01 04:07:11+00:00,4,1060,4,69.8324,A30,y
run-pipeline-gpu-rwqu4-24852,task,PROJECT_7,ns-15727,TEAM_10,2024-06-17 09:52:11+00:00,2024-06-17 18:06:11+00:00,4,494,3,58.1312,A30,n
run-pipeline-gpu-58wqe-20706,task,PROJECT_11,ns-7286,TEAM_1,2024-06-25 02:32:11+00:00,2024-06-26 09:36:11+00:00,5,1864,4,66.6761,A30,n
run-pipeline-gpu-qosjx-7887,task,PROJECT_19,ns-13242,TEAM_9,2024-06-22 18:21:11+00:00,2024-06-25 03:39:11+00:00,2,3438,4,69.4434,A100,n
run-pipeline-gpu-lvo3r-9458,task,PROJECT_9,ns-9332,TEAM_5,2024-06-23 04:30:11+00:00,2024-06-24 16:54:11+00:00,5,2184,3,47.3657,A30,n
run-pipeline-gpu-m3ij6-23250,task,PROJECT_7,ns-6193,TEAM_5,2024-07-02 22:57:11+00:00,2024-07-03 11:01:11+00:00,2,724,2,23.902,A100,n
run-pipeline-gpu-9757e-1760,task,PROJECT_9,ns-19612,TEAM_7,2024-07-02 18:26:11+00:00,2024-07-04 17:07:11+00:00,3,2801,3,49.8964,A100,n
run-pipeline-gpu-hms0t-7638,task,PROJECT_4,ns-11341,TEAM_2,2024-06-18 09:02:11+00:00,2024-06-19 00:00:11+00:00,3,898,2,36.5576,A100,n
run-pipeline-gpu-hk2dq-24305,task,PROJECT_10,ns-12449,TEAM_5,2024-06-22 13:21:11+00:00,2024-06-23 23:22:11+00:00,5,2041,4,78.5982,A100,n
run-pipeline-gpu-lettu-2401,task,PROJECT_12,ns-7639,TEAM_6,2024-06-24 19:40:11+00:00,2024-06-25 23:25:11+00:00,5,1665,4,62.7365,A100,n
run-pipeline-gpu-mr1h7-1642,task,PROJECT_18,ns-29188,TEAM_2,2024-07-02 06:19:11+00:00,2024-07-02 19:40:11+00:00,3,801,4,72.2645,A100,n
run-pipeline-gpu-i2uah-25853,task,PROJECT_20,ns-26789,TEAM_2,2024-06-15 23:00:11+00:00,2024-06-18 12:11:11+00:00,1,3671,3,49.3963,A100,n
run-pipeline-gpu-4nqp2-22242,task,PROJECT_16,ns-4059,TEAM_1,2024-06-25 10:25:11+00:00,2024-06-25 22:39:11+00:00,4,734,3,46.1912,A100,y
run-pipeline-gpu-dmo04-21669,task,PROJECT_2,ns-27016,TEAM_5,2024-06-24 13:12:11+00:00,2024-06-26 02:24:11+00:00,2,2232,2,21.4642,A30,n
run-pipeline-gpu-unkli-29914,task,PROJECT_13,ns-16878,TEAM_8,2024-06-27 13:13:11+00:00,2024-06-28 20:31:11+00:00,6,1878,3,45.5058,A100,n
run-pipeline-gpu-fy738-11393,task,PROJECT_3,ns-5763,TEAM_10,2024-06-24 07:52:11+00:00,2024-06-25 17:43:11+00:00,3,2031,2,28.1157,A100,y
run-pipeline-gpu-uvf40-27020,instance,PROJECT_2,ns-27401,TEAM_7,2024-06-25 02:33:11+00:00,2024-06-25 03:34:11+00:00,2,61,3,50.5514,A100,n
run-pipeline-gpu-p9n9h-5588,task,PROJECT_7,ns-4158,TEAM_2,2024-07-01 11:59:11+00:00,2024-07-02 21:32:11+00:00,7,2013,4,62.0544,A100,n
run-pipeline-gpu-o2vud-24578,instance,PROJECT_9,ns-30351,TEAM_6,2024-06-22 01:57:11+00:00,2024-06-24 12:37:11+00:00,3,3520,2,21.1676,A100,n
run-pipeline-gpu-370pf-31027,task,PROJECT_7,ns-186,TEAM_10,2024-06-23 04:41:11+00:00,2024-06-24 04:59:11+00:00,2,1458,5,92.0139,A100,n
run-pipeline-gpu-hap0a-6504,task,PROJECT_13,ns-13643,TEAM_10,2024-06-23 06:46:11+00:00,2024-06-24 11:18:11+00:00,5,1712,2,23.7491,A100,n
run-pipeline-gpu-bshwy-25081,task,PROJECT_19,ns-31559,TEAM_2,2024-07-02 04:07:11+00:00,2024-07-03 08:16:11+00:00,5,1689,3,45.7854,A30,n
run-pipeline-gpu-0n7nz-27812,task,PROJECT_8,ns-3469,TEAM_8,2024-07-03 20:58:11+00:00,2024-07-04 14:24:11+00:00,3,1046,2,32.5794,A100,n
run-pipeline-gpu-3j57x-20216,task,PROJECT_5,ns-20916,TEAM_2,2024-06-14 02:21:11+00:00,2024-06-15 02:04:11+00:00,3,1423,2,36.1859,A100,n
run-pipeline-gpu-t4ksc-25892,task,PROJECT_8,ns-4722,TEAM_1,2024-07-04 12:32:11+00:00,2024-07-05 01:59:11+00:00,4,807,3,58.6251,A30,y
run-pipeline-gpu-l6968-9330,task,PROJECT_20,ns-4807,TEAM_9,2024-06-19 23:30:11+00:00,2024-06-21 10:24:11+00:00,4,2094,3,45.661,A100,n
run-pipeline-gpu-lzpw8-21752,task,PROJECT_9,ns-22148,TEAM_2,2024-07-01 12:27:11+00:00,2024-07-02 06:26:11+00:00,7,1079,4,78.9436,A100,n
run-pipeline-gpu-m7t3v-13128,task,PROJECT_5,ns-9710,TEAM_1,2024-06-21 14:17:11+00:00,2024-06-22 21:15:11+00:00,4,1858,3,55.2135,A30,n
