norm,expon,lognorm,gamma,beta,chi2,poisson,uniform,weibull_min
33.7623,21.693,71.0168,37.179,10.1431,25.8547,49,59.5639,39.8568
70.3767,67.0412,48.2228,76.2817,20.4519,25.6522,53,70.3438,65.3143
64.1351,42.4394,65.8606,30.8841,40.3159,20.2689,46,72.4084,39.4836
95.9342,85.1736,47.058,27.878,46.9517,23.6312,52,73.1371,33.8328
60.5126,30.3055,31.318,97.3363,47.0703,24.0568,45,63.022,36.0458
43.469,82.6896,57.4303,31.1031,64.9662,38.1366,41,89.6412,58.6353
60.2381,53.6917,81.1821,25.2845,36.16,20.3743,57,44.2689,22.1549
39.8185,65.8049,59.507,51.8494,24.3527,24.717,56,38.5324,70.6371
31.9271,24.5539,66.469,23.512,39.4949,45.96,54,69.6217,65.8837
79.8962,60.2348,80.1057,68.3617,33.4667,20.0054,46,30.8635,81.3193
45.1495,30.8269,91.7095,21.0128,58.3879,25.0061,55,69.7129,45.3695
38.908,25.6765,41.8077,68.3294,17.9291,23.884,36,28.5663,57.8032
44.0266,41.7988,80.4999,37.4784,57.4689,22.1912,54,91.8628,46.3893
68.2428,39.8469,33.732,73.1648,67.5808,34.7408,44,62.7448,40.7135
51.4339,81.8852,31.058,46.3638,71.572,28.5966,53,86.3206,86.1573
84.0422,41.4305,88.7317,70.0653,62.6947,36.6051,55,21.8423,20.406
62.7071,49.1759,29.8412,44.4446,60.0869,33.6895,43,47.8315,34.2186
36.4992,43.1053,52.9317,51.368,7.42116,23.498,46,57.3339,52.025
90.626,32.4575,33.1588,64.6081,46.0888,21.8248,35,99.6171,23.9041
68.6626,56.5772,64.6109,22.2846,65.6729,25.4136,59,38.7807,34.1877
52.2558,71.1588,29.9573,74.9318,14.1486,29.1872,48,70.4405,26.4385
39.8458,34.8732,21.7055,38.5328,30.4215,29.3816,41,76.8044,38.8349
90.1273,63.1557,64.8813,65.248,19.6253,21.215,41,48.1969,54.6141
99.8983,63.4707,35.0644,36.7197,41.1293,25.6047,55,91.4555,44.3044
53.1075,44.3933,23.9469,82.5721,49.4439,22.2786,55,54.5427,37.5285
61.7244,67.5209,53.1379,22.8416,34.2026,23.5129,43,37.7347,52.5105
51.7347,44.233,47.7905,81.8883,31.3214,25.0684,60,76.6685,56.259
45.1059,28.5282,51.9651,35.0686,56.9325,21.9475,45,71.674,51.4169
76.2488,30.7536,21.5669,39.3038,45.3667,24.8368,45,70.981,33.7492
81.0325,34.0012,23.6908,67.3071,50.9912,24.8385,44,34.2932,29.9851
26.652,79.7301,93.4282,63.4957,44.4627,20.9088,49,51.3912,54.9801
37.3719,59.9334,30.7891,27.1438,7.22186,20.2887,53,53.9051,28.0482
