pod_name,pod_type,project,namespace,user_team,start,finish,count,time_diff,computing_load,gpu_utilization,flavor,preemption
run-pipeline-gpu-jrxcc-7135,task,PROJECT_12,ns-32149,TEAM_7,2024-06-29 17:30:32+00:00,2024-06-30 23:22:32+00:00,6,1792,3,49,A100,n
run-pipeline-gpu-uvbye-9954,task,PROJECT_14,ns-18167,TEAM_7,2024-06-19 15:08:32+00:00,2024-06-20 21:07:32+00:00,8,1799,3,53,A30,y
run-pipeline-gpu-2c4va-972,task,PROJECT_20,ns-8801,TEAM_4,2024-06-24 18:32:32+00:00,2024-06-25 23:34:32+00:00,5,1742,3,46,A100,n
run-pipeline-gpu-016go-27550,task,PROJECT_10,ns-31107,TEAM_8,2024-06-23 00:41:32+00:00,2024-06-24 05:55:32+00:00,8,1754,3,52,A100,n
run-pipeline-gpu-6xv7x-148,task,PROJECT_12,ns-4107,TEAM_9,2024-06-29 14:58:32+00:00,2024-06-30 20:27:32+00:00,5,1769,3,45,A30,n
run-pipeline-gpu-8mep3-27649,task,PROJECT_20,ns-20857,TEAM_4,2024-07-01 07:58:32+00:00,2024-07-02 13:38:32+00:00,4,1780,3,41,A100,n
run-pipeline-gpu-gmngm-30646,task,PROJECT_19,ns-27284,TEAM_1,2024-06-29 01:16:32+00:00,2024-06-30 08:13:32+00:00,3,1857,3,57,A30,n
run-pipeline-gpu-38z94-22575,task,PROJECT_11,ns-14546,TEAM_6,2024-06-28 00:11:32+00:00,2024-06-29 05:22:32+00:00,6,1751,3,56,A100,n
run-pipeline-gpu-ii4xl-17434,task,PROJECT_5,ns-18733,TEAM_7,2024-06-24 17:44:32+00:00,2024-06-25 23:13:32+00:00,7,1769,3,54,A30,n
run-pipeline-gpu-0aagi-7927,instance,PROJECT_15,ns-20794,TEAM_2,2024-06-20 12:12:32+00:00,2024-06-21 18:11:32+00:00,6,1799,3,46,A100,y
run-pipeline-gpu-zn5br-14306,task,PROJECT_7,ns-4231,TEAM_3,2024-06-15 21:24:32+00:00,2024-06-17 02:42:32+00:00,6,1758,3,55,A100,n
run-pipeline-gpu-e5ix9-15045,task,PROJECT_17,ns-11648,TEAM_3,2024-06-16 08:40:32+00:00,2024-06-17 14:31:32+00:00,7,1791,2,36,A100,n
run-pipeline-gpu-u6xev-16769,instance,PROJECT_13,ns-14446,TEAM_7,2024-07-04 00:47:32+00:00,2024-07-05 07:38:32+00:00,3,1851,3,54,A100,n
run-pipeline-gpu-91kzi-17365,task,PROJECT_1,ns-22607,TEAM_3,2024-07-02 10:22:32+00:00,2024-07-03 15:54:32+00:00,8,1772,3,44,A100,y
run-pipeline-gpu-d17c8-18442,task,PROJECT_3,ns-4247,TEAM_2,2024-06-23 19:10:32+00:00,2024-06-25 00:46:32+00:00,7,1776,3,53,A100,n
run-pipeline-gpu-anii2-31658,instance,PROJECT_20,ns-23581,TEAM_5,2024-06-28 09:42:32+00:00,2024-06-29 15:26:32+00:00,3,1784,3,55,A100,n
run-pipeline-gpu-2fh6r-4812,task,PROJECT_17,ns-22712,TEAM_3,2024-06-14 06:54:32+00:00,2024-06-15 11:51:32+00:00,1,1737,3,43,A100,y
run-pipeline-gpu-ntkfs-17856,instance,PROJECT_18,ns-16481,TEAM_6,2024-07-03 03:30:32+00:00,2024-07-04 09:55:32+00:00,6,1825,3,46,A100,n
run-pipeline-gpu-m0088-20509,task,PROJECT_13,ns-16343,TEAM_2,2024-06-22 07:53:32+00:00,2024-06-23 13:37:32+00:00,3,1784,2,35,A100,n
run-pipeline-gpu-f2icz-16766,instance,PROJECT_11,ns-12298,TEAM_1,2024-07-03 07:51:32+00:00,2024-07-04 13:03:32+00:00,8,1752,3,59,A100,y
run-pipeline-gpu-xlqb3-3955,task,PROJECT_13,ns-7908,TEAM_7,2024-07-04 03:46:32+00:00,2024-07-05 09:51:32+00:00,2,1805,3,48,A30,n
run-pipeline-gpu-3jhhs-31087,task,PROJECT_5,ns-15660,TEAM_6,2024-06-14 07:13:32+00:00,2024-06-15 13:21:32+00:00,5,1808,3,41,A30,y
run-pipeline-gpu-x9ggk-17082,task,PROJECT_14,ns-651,TEAM_4,2024-07-01 00:56:32+00:00,2024-07-02 07:14:32+00:00,7,1818,3,41,A30,n
run-pipeline-gpu-t2d7x-23475,task,PROJECT_20,ns-30206,TEAM_8,2024-06-19 13:37:32+00:00,2024-06-20 20:42:32+00:00,8,1865,3,55,A100,n
run-pipeline-gpu-dcm7a-6883,task,PROJECT_14,ns-22596,TEAM_2,2024-07-02 19:15:32+00:00,2024-07-04 01:20:32+00:00,6,1805,3,55,A100,y
run-pipeline-gpu-h1aqa-28593,task,PROJECT_18,ns-16130,TEAM_4,2024-06-27 15:34:32+00:00,2024-06-28 21:59:32+00:00,4,1825,3,43,A30,n
run-pipeline-gpu-cgoyg-21433,instance,PROJECT_6,ns-21165,TEAM_9,2024-06-21 19:04:32+00:00,2024-06-23 00:44:32+00:00,3,1780,4,60,A100,n
run-pipeline-gpu-0l74f-32015,task,PROJECT_8,ns-9859,TEAM_4,2024-06-18 17:49:32+00:00,2024-06-20 00:29:32+00:00,3,1840,3,45,A100,n
run-pipeline-gpu-z27b4-17145,task,PROJECT_20,ns-22810,TEAM_8,2024-06-29 22:35:32+00:00,2024-07-01 03:14:32+00:00,5,1719,3,45,A100,y
run-pipeline-gpu-jhrhm-6117,instance,PROJECT_6,ns-9541,TEAM_7,2024-06-23 07:13:32+00:00,2024-06-24 13:25:32+00:00,3,1812,3,44,A30,n
run-pipeline-gpu-zr0ta-16034,task,PROJECT_1,ns-5738,TEAM_10,2024-06-21 19:32:32+00:00,2024-06-23 00:16:32+00:00,4,1724,3,49,A100,n
run-pipeline-gpu-pp1oy-17966,task,PROJECT_5,ns-121,TEAM_3,2024-07-03 23:31:32+00:00,2024-07-05 06:17:32+00:00,7,1846,3,53,A100,n
run-pipeline-gpu-n7gqs-11915,task,PROJECT_6,ns-31518,TEAM_9,2024-06-27 03:31:32+00:00,2024-06-28 09:58:32+00:00,3,1827,3,43,A30,n
run-pipeline-gpu-twqod-12928,task,PROJECT_6,ns-16624,TEAM_1,2024-06-14 10:31:32+00:00,2024-06-15 16:33:32+00:00,4,1802,3,52,A30,y
run-pipeline-gpu-20krb-23860,task,PROJECT_19,ns-18086,TEAM_3,2024-06-27 01:58:32+00:00,2024-06-28 08:24:32+00:00,3,1826,3,55,A100,n
run-pipeline-gpu-fkhsi-8189,task,PROJECT_19,ns-29586,TEAM_7,2024-06-14 03:48:32+00:00,2024-06-15 08:51:32+00:00,6,1743,3,43,A100,n
run-pipeline-gpu-kfiwx-23519,task,PROJECT_17,ns-27644,TEAM_1,2024-07-04 21:04:32+00:00,2024-07-06 02:58:32+00:00,4,1794,3,51,A100,n
run-pipeline-gpu-0zjzd-5002,task,PROJECT_7,ns-9999,TEAM_6,2024-07-02 23:56:32+00:00,2024-07-04 05:47:32+00:00,4,1791,3,41,A100,y
run-pipeline-gpu-jnwuo-3552,instance,PROJECT_9,ns-25972,TEAM_4,2024-06-29 18:09:32+00:00,2024-07-01 01:10:32+00:00,3,1861,3,49,A30,n
run-pipeline-gpu-vncrq-26176,task,PROJECT_4,ns-23252,TEAM_6,2024-06-26 22:47:32+00:00,2024-06-28 04:35:32+00:00,1,1788,3,57,A100,n
run-pipeline-gpu-f7v0v-12082,instance,PROJECT_4,ns-19411,TEAM_1,2024-07-03 22:53:32+00:00,2024-07-05 05:36:32+00:00,4,1843,3,57,A100,n
run-pipeline-gpu-mthj8-13601,instance,PROJECT_15,ns-21314,TEAM_10,2024-07-04 21:55:32+00:00,2024-07-06 04:14:32+00:00,4,1819,3,46,A100,y
run-pipeline-gpu-tq8pa-27211,task,PROJECT_5,ns-17567,TEAM_1,2024-06-19 11:39:32+00:00,2024-06-20 18:15:32+00:00,8,1836,3,41,A30,n
run-pipeline-gpu-9garo-25101,task,PROJECT_11,ns-1819,TEAM_3,2024-06-21 05:45:32+00:00,2024-06-22 11:53:32+00:00,2,1808,3,41,A100,n
run-pipeline-gpu-vxny7-20786,task,PROJECT_1,ns-7095,TEAM_8,2024-07-02 21:30:32+00:00,2024-07-04 02:20:32+00:00,4,1730,3,58,A30,n
run-pipeline-gpu-9jqce-6645,task,PROJECT_11,ns-6718,TEAM_4,2024-06-15 21:26:32+00:00,2024-06-17 03:20:32+00:00,2,1794,3,44,A100,n
run-pipeline-gpu-fks7r-19919,task,PROJECT_10,ns-7204,TEAM_5,2024-07-04 17:36:32+00:00,2024-07-05 22:00:32+00:00,2,1704,3,50,A100,n
run-pipeline-gpu-5vx1j-5199,task,PROJECT_20,ns-6549,TEAM_1,2024-06-14 11:27:32+00:00,2024-06-15 17:21:32+00:00,2,1794,3,51,A30,n
run-pipeline-gpu-7zexq-23940,task,PROJECT_7,ns-31792,TEAM_4,2024-06-29 20:20:32+00:00,2024-07-01 02:19:32+00:00,7,1799,3,57,A100,n
run-pipeline-gpu-grv0z-32714,instance,PROJECT_11,ns-27723,TEAM_8,2024-06-18 10:26:32+00:00,2024-06-19 14:42:32+00:00,5,1696,3,59,A100,n
run-pipeline-gpu-1zo3v-11259,task,PROJECT_14,ns-28853,TEAM_9,2024-07-02 23:32:32+00:00,2024-07-04 05:38:32+00:00,3,1806,4,63,A100,y
run-pipeline-gpu-udbcw-20548,task,PROJECT_18,ns-11844,TEAM_8,2024-06-27 06:38:32+00:00,2024-06-28 13:51:32+00:00,7,1873,3,51,A100,n
run-pipeline-gpu-wwnmu-24895,instance,PROJECT_10,ns-15289,TEAM_8,2024-06-17 17:42:32+00:00,2024-06-19 00:56:32+00:00,5,1874,3,52,A30,n
run-pipeline-gpu-16tuu-25082,task,PROJECT_14,ns-26567,TEAM_5,2024-06-18 00:05:32+00:00,2024-06-19 05:43:32+00:00,5,1778,3,48,A100,y
run-pipeline-gpu-ytl2v-14094,task,PROJECT_10,ns-19000,TEAM_4,2024-06-20 00:08:32+00:00,2024-06-21 07:20:32+00:00,4,1872,3,47,A30,n
run-pipeline-gpu-60bqp-9727,instance,PROJECT_16,ns-22143,TEAM_10,2024-07-01 22:06:32+00:00,2024-07-03 04:15:32+00:00,4,1809,3,52,A30,n
run-pipeline-gpu-frcr7-10606,task,PROJECT_14,ns-13634,TEAM_5,2024-06-23 10:41:32+00:00,2024-06-24 17:11:32+00:00,2,1830,3,57,A100,n
run-pipeline-gpu-t6xct-19440,instance,PROJECT_15,ns-15266,TEAM_9,2024-06-28 23:39:32+00:00,2024-06-30 06:20:32+00:00,5,1841,3,44,A100,n
run-pipeline-gpu-lufnt-22144,instance,PROJECT_1,ns-14918,TEAM_6,2024-06-25 01:36:32+00:00,2024-06-26 07:23:32+00:00,2,1787,3,47,A100,y
run-pipeline-gpu-k4g75-7398,instance,PROJECT_18,ns-25456,TEAM_1,2024-07-03 12:58:32+00:00,2024-07-04 19:58:32+00:00,8,1860,3,52,A100,y
run-pipeline-gpu-x175z-24978,task,PROJECT_20,ns-32430,TEAM_8,2024-06-23 19:19:32+00:00,2024-06-25 00:43:32+00:00,4,1764,3,54,A100,y
run-pipeline-gpu-f1d92-31662,task,PROJECT_9,ns-23009,TEAM_9,2024-07-01 11:33:32+00:00,2024-07-02 17:05:32+00:00,6,1772,3,50,A100,n
run-pipeline-gpu-9kpe6-28025,task,PROJECT_10,ns-12973,TEAM_5,2024-06-20 20:19:32+00:00,2024-06-22 00:02:32+00:00,5,1663,3,49,A100,n
run-pipeline-gpu-wxab1-15925,instance,PROJECT_17,ns-151,TEAM_1,2024-06-27 05:47:32+00:00,2024-06-28 11:55:32+00:00,8,1808,3,48,A30,n
run-pipeline-gpu-ekfrv-542,task,PROJECT_20,ns-26453,TEAM_5,2024-06-25 01:01:32+00:00,2024-06-26 07:51:32+00:00,5,1850,3,58,A30,n
run-pipeline-gpu-w3w4v-21575,task,PROJECT_12,ns-31259,TEAM_2,2024-06-14 01:31:32+00:00,2024-06-15 07:28:32+00:00,3,1797,3,45,A100,n
run-pipeline-gpu-8mh32-29016,task,PROJECT_6,ns-11246,TEAM_6,2024-07-04 21:40:32+00:00,2024-07-06 04:28:32+00:00,2,1848,2,36,A100,n
run-pipeline-gpu-7nz1o-28538,instance,PROJECT_18,ns-7750,TEAM_6,2024-06-18 05:09:32+00:00,2024-06-19 12:01:32+00:00,4,1852,3,55,A100,n
run-pipeline-gpu-hr5xo-3834,task,PROJECT_5,ns-18052,TEAM_4,2024-07-04 16:33:32+00:00,2024-07-05 23:37:32+00:00,3,1864,2,37,A100,n
run-pipeline-gpu-0cmm3-8293,task,PROJECT_13,ns-27646,TEAM_3,2024-06-29 08:52:32+00:00,2024-06-30 15:35:32+00:00,3,1843,3,52,A100,y
run-pipeline-gpu-7y5o8-20525,task,PROJECT_7,ns-7103,TEAM_8,2024-06-28 02:24:32+00:00,2024-06-29 08:35:32+00:00,4,1811,4,61,A100,y
run-pipeline-gpu-8hzf0-7447,task,PROJECT_3,ns-11300,TEAM_10,2024-06-30 03:47:32+00:00,2024-07-01 09:55:32+00:00,6,1808,3,58,A100,n
run-pipeline-gpu-qzr9m-9729,task,PROJECT_8,ns-6648,TEAM_8,2024-06-30 12:41:32+00:00,2024-07-01 18:14:32+00:00,4,1773,2,37,A100,y
run-pipeline-gpu-ogek3-9413,task,PROJECT_10,ns-14795,TEAM_3,2024-07-04 06:43:32+00:00,2024-07-05 13:04:32+00:00,4,1821,3,57,A100,y
run-pipeline-gpu-hnme8-10047,task,PROJECT_3,ns-15242,TEAM_5,2024-06-14 07:53:32+00:00,2024-06-15 14:10:32+00:00,7,1817,3,45,A30,n
run-pipeline-gpu-lasbg-13507,task,PROJECT_12,ns-9131,TEAM_4,2024-06-15 22:55:32+00:00,2024-06-17 05:03:32+00:00,3,1808,3,44,A100,n
run-pipeline-gpu-e0gqp-23939,task,PROJECT_13,ns-29799,TEAM_10,2024-06-19 17:02:32+00:00,2024-06-20 22:55:32+00:00,5,1793,3,53,A100,y
run-pipeline-gpu-75znr-694,task,PROJECT_19,ns-6870,TEAM_6,2024-06-25 23:01:32+00:00,2024-06-27 03:41:32+00:00,6,1720,2,37,A100,n
run-pipeline-gpu-s818r-18824,task,PROJECT_5,ns-7916,TEAM_4,2024-06-19 17:38:32+00:00,2024-06-21 00:35:32+00:00,4,1857,3,41,A100,y
run-pipeline-gpu-k335w-28681,task,PROJECT_3,ns-25258,TEAM_5,2024-06-28 07:49:32+00:00,2024-06-29 12:41:32+00:00,3,1732,3,47,A100,n
run-pipeline-gpu-voz0r-29379,task,PROJECT_8,ns-15351,TEAM_3,2024-06-19 12:24:32+00:00,2024-06-20 18:07:32+00:00,6,1783,3,44,A100,n
run-pipeline-gpu-do0i2-27294,task,PROJECT_7,ns-13831,TEAM_1,2024-06-17 22:32:32+00:00,2024-06-19 04:35:32+00:00,4,1803,2,36,A100,n
run-pipeline-gpu-vj1mr-5684,task,PROJECT_19,ns-6711,TEAM_6,2024-06-14 10:35:32+00:00,2024-06-15 15:51:32+00:00,7,1756,3,40,A100,n
run-pipeline-gpu-i7ttg-28359,task,PROJECT_16,ns-21955,TEAM_10,2024-06-18 05:45:32+00:00,2024-06-19 11:24:32+00:00,5,1779,3,52,A100,n
run-pipeline-gpu-e4ots-18553,task,PROJECT_14,ns-14532,TEAM_8,2024-06-30 04:11:32+00:00,2024-07-01 10:15:32+00:00,6,1804,3,49,A30,y
run-pipeline-gpu-v0z09-7797,task,PROJECT_13,ns-13403,TEAM_5,2024-06-26 05:03:32+00:00,2024-06-27 10:43:32+00:00,3,1780,3,52,A100,n
